subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s002,1,17,0.1016,0.1799,0.0783,0.0792,0.1434,0.0642,0.076,0.1412,0.0652,0.0837,0.8381,0.7544,0.1159,0.8525,0.7366,0.1154,0.3701,0.2547,0.1,0.1531,0.0531,0.164,0.1186,-0.0454,0.0914,0.1954,0.104,0.1053,0.2385,0.1332,0.0771
s002,1,18,0.1056,0.1755,0.0699,0.0781,0.1391,0.061,0.0898,0.1613,0.0715,0.0826,0.77,0.6874,0.0718,0.6947,0.6229,0.131,0.486,0.355,0.0692,0.1609,0.0917,0.1262,0.0697,-0.0565,0.0772,0.1944,0.1172,0.1169,0.2976,0.1807,0.081
s002,1,19,0.1177,0.2237,0.106,0.0837,0.188,0.1043,0.0919,0.1803,0.0884,0.0818,0.7784,0.6966,0.0932,0.5635,0.4703,0.1014,0.2954,0.194,0.056,0.216,0.16,0.09,0.0135,-0.0765,0.1162,0.2526,0.1364,0.0895,0.6565,0.567,0.0874
s002,1,20,0.1027,0.1781,0.0754,0.0729,0.1418,0.0689,0.0792,0.1544,0.0752,0.0744,0.614,0.5396,0.0919,0.7332,0.6413,0.1101,0.2529,0.1428,0.108,0.2297,0.1217,0.0898,0.3128,0.223,0.1053,0.7067,0.6014,0.1299,0.3063,0.1764,0.0784
s002,1,21,0.1016,0.1374,0.0358,0.0861,0.1629,0.0768,0.0774,0.1521,0.0747,0.0747,0.7165,0.6418,0.0932,0.5739,0.4807,0.0919,0.2503,0.1584,0.0246,0.3026,0.278,0.1396,0.1624,0.0228,0.0779,0.2048,0.1269,0.0903,0.2485,0.1582,0.0876
s002,1,22,0.1072,0.2217,0.1145,0.0726,0.1349,0.0623,0.0768,0.1716,0.0948,0.0747,0.7674,0.6927,0.0882,0.5554,0.4672,0.1112,0.2609,0.1497,0.0932,0.14,0.0468,0.1259,0.1373,0.0114,0.0845,0.2009,0.1164,0.0927,0.2654,0.1727,0.0821
s002,1,23,0.1243,0.1841,0.0598,0.0768,0.1568,0.08,0.085,0.1539,0.0689,0.0826,0.8558,0.7732,0.0686,0.5318,0.4632,0.1078,0.2989,0.1911,0.0792,0.1566,0.0774,0.1161,0.1362,0.0201,0.0679,0.2666,0.1987,0.1222,0.4134,0.2912,0.07
s002,1,24,0.1241,0.2019,0.0778,0.0829,0.1745,0.0916,0.0734,0.131,0.0576,0.0787,0.8622,0.7835,0.0723,0.6002,0.5279,0.1206,0.2642,0.1436,0.0829,0.2875,0.2046,0.1307,0.1413,0.0106,0.0845,0.2505,0.166,0.0813,0.3092,0.2279,0.0821
s002,1,25,0.1098,0.1567,0.0469,0.0768,0.1642,0.0874,0.0605,0.1637,0.1032,0.0755,0.6326,0.5571,0.0919,0.7414,0.6495,0.1257,0.3506,0.2249,0.0415,0.3218,0.2803,0.1584,0.2044,0.046,0.1217,0.5487,0.427,0.113,0.2942,0.1812,0.0921
s002,1,26,0.0916,0.1691,0.0775,0.0818,0.1502,0.0684,0.0721,0.1463,0.0742,0.0845,1.1635,1.079,0.0718,0.6878,0.616,0.1322,0.4054,0.2732,0.0774,0.1931,0.1157,0.0826,0.4914,0.4088,0.1103,0.3359,0.2256,0.1146,0.2507,0.1361,0.1077
s002,1,27,0.1272,0.195,0.0678,0.0824,0.1442,0.0618,0.0776,0.1526,0.075,0.0908,0.6257,0.5349,0.0805,0.516,0.4355,0.1127,0.2146,0.1019,0.0655,0.2667,0.2012,0.1526,0.2033,0.0507,0.0869,0.7099,0.623,0.1119,0.3221,0.2102,0.0594
s002,1,28,0.0874,0.1726,0.0852,0.0747,0.1243,0.0496,0.0758,0.1492,0.0734,0.0715,0.6505,0.579,0.0824,0.7831,0.7007,0.104,0.2143,0.1103,0.0599,0.1117,0.0518,0.119,0.1695,0.0505,0.1014,0.2537,0.1523,0.1022,0.4024,0.3002,0.0879
s002,1,29,0.0948,0.1979,0.1031,0.076,0.1412,0.0652,0.0776,0.1452,0.0676,0.0787,0.882,0.8033,0.08,0.6593,0.5793,0.1201,0.36,0.2399,0.0993,0.1899,0.0906,0.161,0.1716,0.0106,0.0781,0.2243,0.1462,0.1066,0.4588,0.3522,0.0924
s002,1,30,0.1196,0.1356,0.016,0.089,0.1666,0.0776,0.0742,0.1178,0.0436,0.085,0.6547,0.5697,0.0824,0.5063,0.4239,0.1196,0.26,0.1404,0.0874,0.1131,0.0257,0.1444,0.1872,0.0428,0.0821,0.351,0.2689,0.1209,0.2918,0.1709,0.1024
s002,1,31,0.0961,0.2333,0.1372,0.0929,0.2233,0.1304,0.0879,0.2064,0.1185,0.0694,0.8109,0.7415,0.0673,0.4342,0.3669,0.1006,0.3471,0.2465,0.0876,0.1481,0.0605,0.1415,0.1629,0.0214,0.0821,0.2125,0.1304,0.0971,0.278,0.1809,0.0578
s002,1,32,0.1172,0.1731,0.0559,0.0737,0.1323,0.0586,0.0855,0.151,0.0655,0.0708,1.0875,1.0167,0.0948,0.581,0.4862,0.1299,0.2453,0.1154,0.1003,0.1191,0.0188,0.1325,0.1756,0.0431,0.0934,0.2515,0.1581,0.0805,0.463,0.3825,0.0715
s002,1,33,0.1225,0.2626,0.1401,0.0755,0.1328,0.0573,0.0855,0.1539,0.0684,0.0737,0.74,0.6663,0.0744,0.5133,0.4389,0.1183,0.2371,0.1188,0.0998,0.1727,0.0729,0.114,0.1719,0.0579,0.0784,0.2146,0.1362,0.0869,0.2984,0.2115,0.0591
s002,1,34,0.1022,0.2309,0.1287,0.0734,0.1362,0.0628,0.0789,0.1349,0.056,0.0734,0.6495,0.5761,0.0747,0.8205,0.7458,0.0718,0.6014,0.5296,0.1032,0.1429,0.0397,0.1475,0.3365,0.189,0.1209,0.3254,0.2045,0.1056,0.3082,0.2026,0.0541
s002,1,35,0.113,0.205,0.092,0.0882,0.15,0.0618,0.0861,0.1582,0.0721,0.081,0.8961,0.8151,0.0781,0.4104,0.3323,0.1186,0.2155,0.0969,0.0884,0.1075,0.0191,0.1235,0.2112,0.0877,0.0924,0.279,0.1866,0.0969,0.2583,0.1614,0.0731
s002,1,36,0.1185,0.2013,0.0828,0.0861,0.141,0.0549,0.08,0.1452,0.0652,0.0655,0.7917,0.7262,0.0607,0.8804,0.8197,0.1128,0.254,0.1412,0.0737,0.1041,0.0304,0.104,0.1603,0.0563,0.0808,0.237,0.1562,0.1114,0.5364,0.425,0.066
s002,1,37,0.1122,0.5953,0.4831,0.0855,0.1932,0.1077,0.0752,0.1626,0.0874,0.0628,0.7394,0.6766,0.0713,0.6696,0.5983,0.1172,0.2212,0.104,0.0781,0.1497,0.0716,0.1169,0.2914,0.1745,0.1051,0.2671,0.162,0.1014,0.2248,0.1234,0.1022
s002,1,38,0.1185,0.1855,0.067,0.0858,0.1399,0.0541,0.0932,0.1653,0.0721,0.0763,1.0794,1.0031,0.0676,0.4197,0.3521,0.1128,0.3221,0.2093,0.0766,0.1176,0.041,0.1307,0.1759,0.0452,0.0708,0.2318,0.161,0.0974,0.3044,0.207,0.0834
s002,1,39,0.1209,0.1868,0.0659,0.0816,0.1539,0.0723,0.0784,0.1478,0.0694,0.0837,0.6882,0.6045,0.0731,0.4072,0.3341,0.107,0.1625,0.0555,0.0821,0.0996,0.0175,0.1148,0.2051,0.0903,0.0964,0.2925,0.1961,0.0995,0.2868,0.1873,0.0731
s002,1,40,0.1161,0.2145,0.0984,0.0755,0.1452,0.0697,0.09,0.1631,0.0731,0.08,0.9099,0.8299,0.0713,0.5833,0.512,0.1204,0.2458,0.1254,0.0842,0.1761,0.0919,0.1388,0.1895,0.0507,0.0766,0.2864,0.2098,0.0821,0.333,0.2509,0.0792
s002,1,41,0.0945,0.2404,0.1459,0.0818,0.1475,0.0657,0.0715,0.1277,0.0562,0.085,0.765,0.68,0.0879,0.4604,0.3725,0.1273,0.1862,0.0589,0.0942,0.1041,0.0099,0.1336,0.173,0.0394,0.0813,0.2278,0.1465,0.0979,0.3063,0.2084,0.076
s002,1,42,0.0993,0.1396,0.0403,0.0779,0.1774,0.0995,0.0692,0.1801,0.1109,0.094,1.0436,0.9496,0.0818,0.4608,0.379,0.1197,0.1804,0.0607,0.0876,0.0985,0.0109,0.133,0.1872,0.0542,0.0834,0.2428,0.1594,0.0982,0.2567,0.1585,0.0803
s002,1,43,0.1154,0.2037,0.0883,0.0834,0.1523,0.0689,0.0776,0.1381,0.0605,0.0961,0.6217,0.5256,0.0853,0.4538,0.3685,0.1122,0.1906,0.0784,0.089,0.0997,0.0107,0.146,0.2316,0.0856,0.1003,0.2995,0.1992,0.109,0.3052,0.1962,0.1048
s002,1,44,0.1209,0.1947,0.0738,0.0768,0.1544,0.0776,0.0797,0.1396,0.0599,0.0882,1.0255,0.9373,0.0657,0.4373,0.3716,0.1458,0.7826,0.6368,0.0747,0.3331,0.2584,0.1064,0.2959,0.1895,0.1146,0.3012,0.1866,0.1074,0.3598,0.2524,0.0586
s002,1,45,0.1043,0.3145,0.2102,0.0971,0.1797,0.0826,0.0979,0.2077,0.1098,0.0803,0.8822,0.8019,0.099,0.4978,0.3988,0.119,0.2803,0.1613,0.0855,0.1579,0.0724,0.1407,0.222,0.0813,0.09,0.265,0.175,0.1003,0.501,0.4007,0.0768
s002,1,46,0.1138,0.1908,0.077,0.071,0.1407,0.0697,0.0974,0.1499,0.0525,0.0855,0.7869,0.7014,0.0689,0.4962,0.4273,0.1236,0.3281,0.2045,0.0985,0.1379,0.0394,0.1185,0.1719,0.0534,0.08,0.2404,0.1604,0.0979,0.273,0.1751,0.0887
s002,1,47,0.1446,0.1963,0.0517,0.0911,0.1827,0.0916,0.0934,0.1272,0.0338,0.0808,1.2738,1.193,0.0964,0.7512,0.6548,0.1162,0.2751,0.1589,0.0924,0.2131,0.1207,0.1351,0.2563,0.1212,0.0842,0.2526,0.1684,0.0842,0.2873,0.2031,0.0776
s002,1,48,0.0776,0.4995,0.4219,0.0998,0.1568,0.057,0.0892,0.1811,0.0919,0.0684,0.6547,0.5863,0.0839,0.4289,0.345,0.1157,0.2725,0.1568,0.0913,0.1394,0.0481,0.1095,0.1993,0.0898,0.0779,0.2164,0.1385,0.0942,0.291,0.1968,0.0839
s002,1,49,0.1029,0.2292,0.1263,0.0774,0.1669,0.0895,0.0845,0.1376,0.0531,0.09,0.7745,0.6845,0.099,0.4875,0.3885,0.122,0.2162,0.0942,0.0934,0.0985,0.0051,0.1338,0.2064,0.0726,0.0747,0.2061,0.1314,0.085,0.2263,0.1413,0.0913
s002,1,50,0.1217,0.2127,0.091,0.0842,0.2209,0.1367,0.0821,0.1798,0.0977,0.0995,1.3036,1.2041,0.08,0.787,0.707,0.1209,0.2629,0.142,0.0985,0.121,0.0225,0.1446,0.1608,0.0162,0.0795,0.2397,0.1602,0.0956,0.2971,0.2015,0.0945
